"","year","state","CVE_GEO","population","deaths","mort_rate"
"328",1979,"Veracruz",30,5227001,43050,0.00823608030685282
"329",1979,"Yucatan",31,1035990,9602,0.00926842923194239
"330",1979,"Zacatecas",32,1130528,8960,0.00792550029720626
"331",1980,"Aguascalientes",1,513712,3292,0.00640825988102283
"332",1980,"Baja California",2,1168135,7044,0.00603012494275062
"333",1980,"Baja California Sur",3,210326,1393,0.00662305183381988
"334",1980,"Campeche",4,418055,2927,0.00700147109830046
"335",1980,"Chiapas",7,2104632,15137,0.00719223123092303
"336",1980,"Chihuahua",8,2010669,13129,0.0065296674887811
"337",1980,"Coahuila",5,1545492,9879,0.00639213920227345
"338",1980,"Colima",6,344675,2325,0.0067454848770581
"339",1980,"Durango",10,1186880,8403,0.00707990698301429
"340",1980,"Guanajuato",11,3008206,22243,0.00739410798329636
"341",1980,"Guerrero",12,2135195,18043,0.00845028205854735
"342",1980,"Hidalgo",13,1550831,12933,0.00833939997330463
"343",1980,"Jalisco",14,4380529,29781,0.00679849397184678
"344",1980,"Mexico City",9,8803992,50287,0.00571184071952814
"345",1980,"Michoacan",16,2905010,22793,0.00784610035765798
"346",1980,"Morelos",17,938063,6810,0.00725964034398543
"347",1980,"National",0,66706088,469223,0.00703418554540329
"348",1980,"Nayarit",18,725028,5355,0.00738592164716397
"349",1980,"Nuevo Leon",19,2473203,14988,0.00606015761747014
"350",1980,"Oaxaca",20,2417421,22782,0.00942409286590958
"351",1980,"Puebla",21,3373178,27509,0.00815521742404344
"352",1980,"Queretaro",22,733477,5150,0.00702135172609366
"353",1980,"Quintana Roo",23,217601,1302,0.00598342838497985
"354",1980,"San Luis Potosi",24,1679281,13660,0.00813443372490965
"355",1980,"Sinaloa",25,1828211,12960,0.0070888972881139
"356",1980,"Sonora",26,1501207,9642,0.00642283176137601
"357",1980,"State of Mexico",15,7422034,42656,0.00574721161342026
"358",1980,"Tabasco",27,1058189,7401,0.00699402469691142
"359",1980,"Tamaulipas",28,1914583,13778,0.00719634510491318
"360",1980,"Tlaxcala",29,556335,4484,0.0080598919715639
"361",1980,"Veracruz",30,5374643,42637,0.00793299201453939
"362",1980,"Yucatan",31,1064018,9613,0.00903462159474746
"363",1980,"Zacatecas",32,1143277,8887,0.00777326929519268
"364",1981,"Aguascalientes",1,533306,3256,0.00610531289728599
"365",1981,"Baja California",2,1207456,7016,0.00581056369755917
