"","year","state","CVE_GEO","age_group","ferty_rate","births"
"514",1972,"05",5,"25-29",289.13,11617
"515",1972,"05",5,"30-34",227.39,7647
"516",1972,"05",5,"35-39",144.65,4163
"517",1972,"05",5,"40-44",40.28,1002
"518",1972,"05",5,"45-49",4.75,99
"519",1972,"06",6,"15-19",130.12,1873
"520",1972,"06",6,"20-24",272.63,2955
"521",1972,"06",6,"25-29",342.2,2896
"522",1972,"06",6,"30-34",237.79,1651
"523",1972,"06",6,"35-39",181.05,1070
"524",1972,"06",6,"40-44",69.57,360
"525",1972,"06",6,"45-49",10.78,48
"526",1972,"10",10,"15-19",145.33,7635
"527",1972,"10",10,"20-24",347.7,13538
"528",1972,"10",10,"25-29",321.15,9841
"529",1972,"10",10,"30-34",255.88,6575
"530",1972,"10",10,"35-39",196.13,4341
"531",1972,"10",10,"40-44",83.17,1586
"532",1972,"10",10,"45-49",9.43,149
"533",1972,"11",11,"15-19",129.98,16978
"534",1972,"11",11,"20-24",300.68,29336
"535",1972,"11",11,"25-29",341.85,26128
"536",1972,"11",11,"30-34",280.04,17732
"537",1972,"11",11,"35-39",229.23,12422
"538",1972,"11",11,"40-44",94.48,4445
"539",1972,"11",11,"45-49",12.7,503
"540",1972,"12",12,"15-19",180.08,16425
"541",1972,"12",12,"20-24",353.34,24544
"542",1972,"12",12,"25-29",375.09,21199
"543",1972,"12",12,"30-34",301.21,14513
"544",1972,"12",12,"35-39",223.66,9231
"545",1972,"12",12,"40-44",77.83,2703
"546",1972,"12",12,"45-49",12.86,358
"547",1972,"13",13,"15-19",135.27,8941
"548",1972,"13",13,"20-24",358.72,18027
"549",1972,"13",13,"25-29",364.22,14860
"550",1972,"13",13,"30-34",283.11,9785
"551",1972,"13",13,"35-39",197.54,5856
"552",1972,"13",13,"40-44",57.33,1468
"553",1972,"13",13,"45-49",8.68,187
"554",1972,"14",14,"15-19",108.91,20966
"555",1972,"14",14,"20-24",296.62,43788
"556",1972,"14",14,"25-29",353.78,41125
"557",1972,"14",14,"30-34",319.85,30389
"558",1972,"14",14,"35-39",222.7,17906
"559",1972,"14",14,"40-44",83.86,5918
"560",1972,"14",14,"45-49",9.07,557
"561",1972,"15",15,"15-19",122.34,29787
"562",1972,"15",15,"20-24",303.1,57105
"563",1972,"15",15,"25-29",316.47,48952
"564",1972,"15",15,"30-34",254.79,33215
"565",1972,"15",15,"35-39",166.44,18083
"566",1972,"15",15,"40-44",49.93,4453
"567",1972,"15",15,"45-49",4.12,290
"568",1972,"16",16,"15-19",146.01,19324
"569",1972,"16",16,"20-24",291.38,28592
"570",1972,"16",16,"25-29",379.08,29009
"571",1972,"16",16,"30-34",311.57,19881
"572",1972,"16",16,"35-39",250.16,13837
"573",1972,"16",16,"40-44",95.3,4611
"574",1972,"16",16,"45-49",6.64,271
"575",1972,"17",17,"15-19",123.55,4538
"576",1972,"17",17,"20-24",302.98,8524
"577",1972,"17",17,"25-29",278.01,6350
"578",1972,"17",17,"30-34",234.4,4594
"579",1972,"17",17,"35-39",178.06,3038
"580",1972,"17",17,"40-44",79.94,1166
"581",1972,"17",17,"45-49",14.28,168
"582",1972,"18",18,"15-19",166.66,5157
"583",1972,"18",18,"20-24",315.4,7183
"584",1972,"18",18,"25-29",299.1,5310
"585",1972,"18",18,"30-34",258.5,3832
"586",1972,"18",18,"35-39",206.16,2651
"587",1972,"18",18,"40-44",64.23,729
"588",1972,"18",18,"45-49",17.19,168
"589",1972,"19",19,"15-19",106.04,10609
"590",1972,"19",19,"20-24",262.02,20872
"591",1972,"19",19,"25-29",274.23,17907
"592",1972,"19",19,"30-34",225.68,12284
"593",1972,"19",19,"35-39",147.98,6746
"594",1972,"19",19,"40-44",42.9,1661
"595",1972,"19",19,"45-49",8.53,276
"596",1972,"20",20,"15-19",186.71,20282
"597",1972,"20",20,"20-24",367.46,30842
"598",1972,"20",20,"25-29",347.37,24223
"599",1972,"20",20,"30-34",291.84,17647
"600",1972,"20",20,"35-39",233.98,12276
"601",1972,"20",20,"40-44",96.45,4357
"602",1972,"20",20,"45-49",9.98,377
"603",1972,"21",21,"15-19",158.59,22276
"604",1972,"21",21,"20-24",355.59,38421
"605",1972,"21",21,"25-29",357.71,31499
"606",1972,"21",21,"30-34",295.26,22280
"607",1972,"21",21,"35-39",230.35,15160
"608",1972,"21",21,"40-44",94.04,5399
"609",1972,"21",21,"45-49",15.35,742
