"","year","state","CVE_GEO","deaths"
"1265",2008,"Guerrero",12,18052
"1266",2008,"Hidalgo",13,13510
"1267",2008,"Jalisco",14,36429
"1268",2008,"Mexico City",9,52457
"1269",2008,"Michoacan",16,23943
"1270",2008,"Morelos",17,9460
"1271",2008,"National",0,551934
"1272",2008,"Nayarit",18,5773
"1273",2008,"Nuevo Leon",19,21653
"1274",2008,"Oaxaca",20,22100
"1275",2008,"Puebla",21,28908
"1276",2008,"Queretaro",22,7641
"1277",2008,"Quintana Roo",23,4132
"1278",2008,"San Luis Potosi",24,14071
"1279",2008,"Sinaloa",25,14224
"1280",2008,"Sonora",26,12668
"1281",2008,"State of Mexico",15,64016
"1282",2008,"Tabasco",27,9661
"1283",2008,"Tamaulipas",28,15893
"1284",2008,"Tlaxcala",29,5568
"1285",2008,"Veracruz",30,42989
"1286",2008,"Yucatan",31,10732
"1287",2008,"Zacatecas",32,8270
"1288",2009,"Aguascalientes",1,5257
"1289",2009,"Baja California",2,13261
"1290",2009,"Baja California Sur",3,2607
"1291",2009,"Campeche",4,4082
"1292",2009,"Chiapas",7,21081
"1293",2009,"Chihuahua",8,16668
"1294",2009,"Coahuila",5,13386
"1295",2009,"Colima",6,3382
"1296",2009,"Durango",10,8584
"1297",2009,"Guanajuato",11,27525
"1298",2009,"Guerrero",12,19111
"1299",2009,"Hidalgo",13,14358
"1300",2009,"Jalisco",14,38280
"1301",2009,"Mexico City",9,54270
"1302",2009,"Michoacan",16,25189
"1303",2009,"Morelos",17,10015
"1304",2009,"National",0,580721
"1305",2009,"Nayarit",18,6103
"1306",2009,"Nuevo Leon",19,22874
"1307",2009,"Oaxaca",20,23252
"1308",2009,"Puebla",21,30278
"1309",2009,"Queretaro",22,8138
"1310",2009,"Quintana Roo",23,4450
"1311",2009,"San Luis Potosi",24,14750
"1312",2009,"Sinaloa",25,14931
"1313",2009,"Sonora",26,13400
"1314",2009,"State of Mexico",15,67702
"1315",2009,"Tabasco",27,10272
"1316",2009,"Tamaulipas",28,16709
"1317",2009,"Tlaxcala",29,5862
"1318",2009,"Veracruz",30,45075
"1319",2009,"Yucatan",31,11210
"1320",2009,"Zacatecas",32,8659
"1321",2010,"Aguascalientes",1,5466
"1322",2010,"Baja California",2,13784
"1323",2010,"Baja California Sur",3,2734
"1324",2010,"Campeche",4,4267
"1325",2010,"Chiapas",7,22113
"1326",2010,"Chihuahua",8,17176
"1327",2010,"Coahuila",5,13896
"1328",2010,"Colima",6,3523
"1329",2010,"Durango",10,8883
"1330",2010,"Guanajuato",11,28598
"1331",2010,"Guerrero",12,20117
"1332",2010,"Hidalgo",13,14981
"1333",2010,"Jalisco",14,39664
"1334",2010,"Mexico City",9,55323
"1335",2010,"Michoacan",16,26122
"1336",2010,"Morelos",17,10440
"1337",2010,"National",0,602896
"1338",2010,"Nayarit",18,6337
"1339",2010,"Nuevo Leon",19,23767
"1340",2010,"Oaxaca",20,24176
"1341",2010,"Puebla",21,31403
"1342",2010,"Queretaro",22,8500
"1343",2010,"Quintana Roo",23,4717
"1344",2010,"San Luis Potosi",24,15320
"1345",2010,"Sinaloa",25,15501
"1346",2010,"Sonora",26,13928
"1347",2010,"State of Mexico",15,70481
"1348",2010,"Tabasco",27,10752
"1349",2010,"Tamaulipas",28,17373
"1350",2010,"Tlaxcala",29,6098
"1351",2010,"Veracruz",30,46897
"1352",2010,"Yucatan",31,11608
"1353",2010,"Zacatecas",32,8951
"1354",2011,"Aguascalientes",1,5565
"1355",2011,"Baja California",2,13891
