"","year","state","CVE_GEO","population"
"251",1977,"Oaxaca",20,2347644
"252",1977,"Puebla",21,3151541
"253",1977,"Queretaro",22,660249
"254",1977,"Quintana Roo",23,174014
"255",1977,"San Luis Potosi",24,1577929
"256",1977,"Sinaloa",25,1661893
"257",1977,"Sonora",26,1387933
"258",1977,"State of Mexico",15,6251901
"259",1977,"Tabasco",27,978210
"260",1977,"Tamaulipas",28,1789724
"261",1977,"Tlaxcala",29,520557
"262",1977,"Veracruz",30,4933380
"263",1977,"Yucatan",31,980145
"264",1977,"Zacatecas",32,1102065
"265",1978,"Aguascalientes",1,478356
"266",1978,"Baja California",2,1111635
"267",1978,"Baja California Sur",3,192760
"268",1978,"Campeche",4,383772
"269",1978,"Chiapas",7,2016682
"270",1978,"Chihuahua",8,1945051
"271",1978,"Coahuila",5,1463793
"272",1978,"Colima",6,324533
"273",1978,"Durango",10,1146694
"274",1978,"Guanajuato",11,2879415
"275",1978,"Guerrero",12,2046217
"276",1978,"Hidalgo",13,1492326
"277",1978,"Jalisco",14,4188238
"278",1978,"Mexico City",9,8469848
"279",1978,"Michoacan",16,2819085
"280",1978,"Morelos",17,872911
"281",1978,"National",0,63269599
"282",1978,"Nayarit",18,692716
"283",1978,"Nuevo Leon",19,2315041
"284",1978,"Oaxaca",20,2373029
"285",1978,"Puebla",21,3226229
"286",1978,"Queretaro",22,684400
"287",1978,"Quintana Roo",23,188048
"288",1978,"San Luis Potosi",24,1612260
"289",1978,"Sinaloa",25,1716855
"290",1978,"Sonora",26,1425617
"291",1978,"State of Mexico",15,6630621
"292",1978,"Tabasco",27,1004945
"293",1978,"Tamaulipas",28,1831569
"294",1978,"Tlaxcala",29,532614
"295",1978,"Veracruz",30,5079638
"296",1978,"Yucatan",31,1007978
"297",1978,"Zacatecas",32,1116723
"298",1979,"Aguascalientes",1,495940
"299",1979,"Baja California",2,1139895
"300",1979,"Baja California Sur",3,201441
"301",1979,"Campeche",4,400771
"302",1979,"Chiapas",7,2061045
"303",1979,"Chihuahua",8,1978366
