"","year","state","CVE_GEO","age","population","births_grouped","births","ferty_rate","birth_rate"
"314",2020,"Durango",10,48,21212,87,17.4,0.308,0.000820290401659438
"315",2020,"Durango",10,49,20667,87,17.4,0.308,0.000841921904485411
"316",2020,"Guanajuato",11,15,114137,18909,3781.8,13.606,0.0331338654424069
"317",2020,"Guanajuato",11,16,113541,18909,3781.8,13.606,0.0333077918989616
"318",2020,"Guanajuato",11,17,112769,18909,3781.8,13.606,0.0335358121469553
"319",2020,"Guanajuato",11,18,112024,18909,3781.8,13.606,0.0337588373919874
"320",2020,"Guanajuato",11,19,111181,18909,3781.8,13.606,0.0340148046878513
"321",2020,"Guanajuato",11,20,110385,30330,6066,22.25,0.0549531186302487
"322",2020,"Guanajuato",11,21,109724,30330,6066,22.25,0.055284167547665
"323",2020,"Guanajuato",11,22,109189,30330,6066,22.25,0.0555550467537939
"324",2020,"Guanajuato",11,23,108821,30330,6066,22.25,0.0557429172678068
"325",2020,"Guanajuato",11,24,108525,30330,6066,22.25,0.0558949550794748
"326",2020,"Guanajuato",11,25,108101,29112,5822.4,21.68,0.0538607413437433
"327",2020,"Guanajuato",11,26,107255,29112,5822.4,21.68,0.0542855810917906
"328",2020,"Guanajuato",11,27,106122,29112,5822.4,21.68,0.0548651551987335
"329",2020,"Guanajuato",11,28,104625,29112,5822.4,21.68,0.0556501792114695
"330",2020,"Guanajuato",11,29,102607,29112,5822.4,21.68,0.0567446665432183
"331",2020,"Guanajuato",11,30,100458,20929,4185.8,16.612,0.0416671643871071
"332",2020,"Guanajuato",11,31,98467,20929,4185.8,16.612,0.0425096732915596
"333",2020,"Guanajuato",11,32,96366,20929,4185.8,16.612,0.0434364817466741
"334",2020,"Guanajuato",11,33,94238,20929,4185.8,16.612,0.0444173263439377
"335",2020,"Guanajuato",11,34,92156,20929,4185.8,16.612,0.0454208081948001
"336",2020,"Guanajuato",11,35,90057,9626,1925.2,8.354,0.0213775719821891
"337",2020,"Guanajuato",11,36,87969,9626,1925.2,8.354,0.021884982209642
"338",2020,"Guanajuato",11,37,85958,9626,1925.2,8.354,0.0223969845738617
"339",2020,"Guanajuato",11,38,84092,9626,1925.2,8.354,0.0228939732673738
"340",2020,"Guanajuato",11,39,82412,9626,1925.2,8.354,0.0233606756297627
"341",2020,"Guanajuato",11,40,80972,2622,524.4,2.476,0.00647631279948624
"342",2020,"Guanajuato",11,41,79733,2622,524.4,2.476,0.00657695057253584
"343",2020,"Guanajuato",11,42,78665,2622,524.4,2.476,0.00666624292887561
"344",2020,"Guanajuato",11,43,77765,2622,524.4,2.476,0.00674339355751302
"345",2020,"Guanajuato",11,44,76970,2622,524.4,2.476,0.00681304404313369
"346",2020,"Guanajuato",11,45,75774,262,52.4,0.27,0.000691530076279463
"347",2020,"Guanajuato",11,46,74299,262,52.4,0.27,0.000705258482617532
"348",2020,"Guanajuato",11,47,72542,262,52.4,0.27,0.000722340161561578
"349",2020,"Guanajuato",11,48,70523,262,52.4,0.27,0.000743020007657076
"350",2020,"Guanajuato",11,49,68321,262,52.4,0.27,0.000766967696608656
"351",2020,"Guerrero",12,15,71093,12224,2444.8,14.278,0.0343887583869017
"352",2020,"Guerrero",12,16,70149,12224,2444.8,14.278,0.0348515303140458
"353",2020,"Guerrero",12,17,69069,12224,2444.8,14.278,0.0353964875704006
"354",2020,"Guerrero",12,18,67985,12224,2444.8,14.278,0.0359608737221446
"355",2020,"Guerrero",12,19,66951,12224,2444.8,14.278,0.0365162581589521
"356",2020,"Guerrero",12,20,66007,19640,3928,24.218,0.0595088399715182
"357",2020,"Guerrero",12,21,65069,19640,3928,24.218,0.0603666876700118
"358",2020,"Guerrero",12,22,64172,19640,3928,24.218,0.0612104967898772
"359",2020,"Guerrero",12,23,63314,19640,3928,24.218,0.0620399911551947
"360",2020,"Guerrero",12,24,62500,19640,3928,24.218,0.062848
"361",2020,"Guerrero",12,25,61690,16999,3399.8,22.2,0.0551110390662992
"362",2020,"Guerrero",12,26,60714,16999,3399.8,22.2,0.0559969693975031
"363",2020,"Guerrero",12,27,59600,16999,3399.8,22.2,0.0570436241610738
"364",2020,"Guerrero",12,28,58318,16999,3399.8,22.2,0.0582976096573957
"365",2020,"Guerrero",12,29,56724,16999,3399.8,22.2,0.0599358296311967
"366",2020,"Guerrero",12,30,55095,11676,2335.2,16.852,0.0423849714130139
"367",2020,"Guerrero",12,31,53648,11676,2335.2,16.852,0.0435281837160752
"368",2020,"Guerrero",12,32,52195,11676,2335.2,16.852,0.0447399176166299
"369",2020,"Guerrero",12,33,50788,11676,2335.2,16.852,0.045979365204379
"370",2020,"Guerrero",12,34,49423,11676,2335.2,16.852,0.0472492564190761
"371",2020,"Guerrero",12,35,48103,5650,1130,9.088,0.0234912583414756
"372",2020,"Guerrero",12,36,46871,5650,1130,9.088,0.0241087239444433
"373",2020,"Guerrero",12,37,45719,5650,1130,9.088,0.0247162011417573
"374",2020,"Guerrero",12,38,44671,5650,1130,9.088,0.0252960533679568
"375",2020,"Guerrero",12,39,43714,5650,1130,9.088,0.0258498421558311
"376",2020,"Guerrero",12,40,42881,1696,339.2,2.982,0.00791026328677036
"377",2020,"Guerrero",12,41,42192,1696,339.2,2.982,0.00803943875616231
"378",2020,"Guerrero",12,42,41622,1696,339.2,2.982,0.00814953630291673
"379",2020,"Guerrero",12,43,41162,1696,339.2,2.982,0.00824061027160974
"380",2020,"Guerrero",12,44,40774,1696,339.2,2.982,0.00831902683082356
"381",2020,"Guerrero",12,45,40205,200,40,0.382,0.000994901131700037
"382",2020,"Guerrero",12,46,39550,200,40,0.382,0.00101137800252844
"383",2020,"Guerrero",12,47,38779,200,40,0.382,0.0010314861136182
"384",2020,"Guerrero",12,48,37904,200,40,0.382,0.00105529759392149
"385",2020,"Guerrero",12,49,36956,200,40,0.382,0.00108236822166901
"386",2020,"Hidalgo",13,15,55474,9150,1830,13.708,0.0329884270108519
"387",2020,"Hidalgo",13,16,54844,9150,1830,13.708,0.0333673692655532
"388",2020,"Hidalgo",13,17,54072,9150,1830,13.708,0.033843763870395
"389",2020,"Hidalgo",13,18,53271,9150,1830,13.708,0.0343526496592893
"390",2020,"Hidalgo",13,19,52496,9150,1830,13.708,0.0348597988418165
"391",2020,"Hidalgo",13,20,51819,15690,3138,24.61,0.0605569385746541
"392",2020,"Hidalgo",13,21,51214,15690,3138,24.61,0.0612723083531847
"393",2020,"Hidalgo",13,22,50697,15690,3138,24.61,0.0618971536777324
"394",2020,"Hidalgo",13,23,50287,15690,3138,24.61,0.0624018135899934
"395",2020,"Hidalgo",13,24,49957,15690,3138,24.61,0.0628140200572492
"396",2020,"Hidalgo",13,25,49705,13520,2704,21.458,0.0544009656976159
"397",2020,"Hidalgo",13,26,49385,13520,2704,21.458,0.0547534676521211
"398",2020,"Hidalgo",13,27,48993,13520,2704,21.458,0.0551915579776703
"399",2020,"Hidalgo",13,28,48499,13520,2704,21.458,0.0557537268809666
"400",2020,"Hidalgo",13,29,47764,13520,2704,21.458,0.0566116740641487
"401",2020,"Hidalgo",13,30,46973,8897,1779.4,14.554,0.0378813360866881
"402",2020,"Hidalgo",13,31,46329,8897,1779.4,14.554,0.0384079086533273
"403",2020,"Hidalgo",13,32,45661,8897,1779.4,14.554,0.03896979917216
"404",2020,"Hidalgo",13,33,44994,8897,1779.4,14.554,0.0395474952215851
"405",2020,"Hidalgo",13,34,44326,8897,1779.4,14.554,0.0401434823805442
"406",2020,"Hidalgo",13,35,43615,3780,756,6.512,0.0173334861859452
"407",2020,"Hidalgo",13,36,42893,3780,756,6.512,0.0176252535378733
"408",2020,"Hidalgo",13,37,42207,3780,756,6.512,0.0179117208046059
