"","year","state","CVE_GEO","age","births_grouped","births","ferty_rate"
"471",2020,"MCMA",33,15,45526,416.742304311956,12.478
"472",2020,"MCMA",33,15,45526,150.900450625495,12.478
"473",2020,"MCMA",33,15,45526,7.91663206101729,12.478
"474",2020,"MCMA",33,15,15013,191.204086627641,9.566
"475",2020,"MCMA",33,15,45526,24.3692453992895,12.478
"476",2020,"MCMA",33,15,15013,78.109601149896,9.566
"477",2020,"MCMA",33,15,15013,160.269829844298,9.566
"478",2020,"MCMA",33,15,45526,269.110300540468,12.478
"479",2020,"MCMA",33,15,45526,87.6532445237654,12.478
"480",2020,"MCMA",33,15,45526,848.483897563686,12.478
"481",2020,"MCMA",33,15,45526,6.39585378748337,12.478
"482",2020,"MCMA",33,15,15013,400.03804742518,9.566
"483",2020,"MCMA",33,15,45526,74.5303997440776,12.478
"484",2020,"MCMA",33,15,45526,25.3135996497904,12.478
"485",2020,"MCMA",33,15,45526,142.321544155035,12.478
"486",2020,"MCMA",33,15,45526,7.07652470829896,12.478
"487",2020,"MCMA",33,15,45526,311.348690653781,12.478
"488",2020,"MCMA",33,15,15013,131.592351264323,9.566
"489",2020,"MCMA",33,15,15013,680.288429572884,9.566
"490",2020,"MCMA",33,15,45526,14.0733312006465,12.478
"491",2020,"MCMA",33,15,45526,10.9520564376273,12.478
"492",2020,"MCMA",33,15,45526,14.9563637465695,12.478
"493",2020,"MCMA",33,15,15013,89.2681155998811,9.566
"494",2020,"MCMA",33,15,45526,169.131393396528,12.478
"495",2020,"MCMA",33,15,45526,31.8075681645985,12.478
