"","year","state","CVE_GEO","age","sex","population","ferty_rate"
"380",2020,"Guerrero",12,44,"Female",22110,2.982
"381",2020,"Guerrero",12,45,"Female",21749,0.382
"382",2020,"Guerrero",12,46,"Female",21346,0.382
"383",2020,"Guerrero",12,47,"Female",20888,0.382
"384",2020,"Guerrero",12,48,"Female",20388,0.382
"385",2020,"Guerrero",12,49,"Female",19866,0.382
"386",2020,"Hidalgo",13,15,"Female",27184,13.708
"387",2020,"Hidalgo",13,16,"Female",26923,13.708
"388",2020,"Hidalgo",13,17,"Female",26619,13.708
"389",2020,"Hidalgo",13,18,"Female",26317,13.708
"390",2020,"Hidalgo",13,19,"Female",26024,13.708
"391",2020,"Hidalgo",13,20,"Female",25772,24.61
"392",2020,"Hidalgo",13,21,"Female",25557,24.61
"393",2020,"Hidalgo",13,22,"Female",25407,24.61
"394",2020,"Hidalgo",13,23,"Female",25336,24.61
"395",2020,"Hidalgo",13,24,"Female",25309,24.61
"396",2020,"Hidalgo",13,25,"Female",25307,21.458
"397",2020,"Hidalgo",13,26,"Female",25270,21.458
"398",2020,"Hidalgo",13,27,"Female",25212,21.458
"399",2020,"Hidalgo",13,28,"Female",25125,21.458
"400",2020,"Hidalgo",13,29,"Female",24939,21.458
"401",2020,"Hidalgo",13,30,"Female",24714,14.554
"402",2020,"Hidalgo",13,31,"Female",24546,14.554
"403",2020,"Hidalgo",13,32,"Female",24352,14.554
"404",2020,"Hidalgo",13,33,"Female",24136,14.554
"405",2020,"Hidalgo",13,34,"Female",23903,14.554
"406",2020,"Hidalgo",13,35,"Female",23638,6.512
"407",2020,"Hidalgo",13,36,"Female",23347,6.512
"408",2020,"Hidalgo",13,37,"Female",23059,6.512
"409",2020,"Hidalgo",13,38,"Female",22768,6.512
"410",2020,"Hidalgo",13,39,"Female",22489,6.512
"411",2020,"Hidalgo",13,40,"Female",22230,1.886
"412",2020,"Hidalgo",13,41,"Female",21976,1.886
"413",2020,"Hidalgo",13,42,"Female",21741,1.886
"414",2020,"Hidalgo",13,43,"Female",21529,1.886
"415",2020,"Hidalgo",13,44,"Female",21344,1.886
"416",2020,"Hidalgo",13,45,"Female",21045,0.22
"417",2020,"Hidalgo",13,46,"Female",20673,0.22
"418",2020,"Hidalgo",13,47,"Female",20233,0.22
